$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",183068149,1,315,940GZZLUSGT,Southgate Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T11:25:53.398587Z,1426,Between Caledonian Road and Holloway Road,Cockfosters,2025-11-27T11:49:39Z,2025-11-27T11:49:39Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:42.068Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1915603704,1,224,940GZZLUECM,Ealing Common Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T11:25:53.398587Z,1752,Between Holborn and Covent Garden,Rayners Lane,2025-11-27T11:55:05Z,2025-11-27T11:55:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.304Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",660973351,1,224,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly,Piccadilly,Westbound - Platform 4,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-11-27T11:25:53.398587Z,165,Between Holborn and Covent Garden,Rayners Lane,2025-11-27T11:28:38Z,2025-11-27T11:28:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.557Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",817060950,1,334,940GZZLUFPK,Finsbury Park Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,281,Left Turnpike Lane,Heathrow T123 + 5,2025-11-27T11:30:34Z,2025-11-27T11:30:34Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.732Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",660907808,1,334,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly,Piccadilly,Westbound - Platform 4,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,1245,At Turnpike Lane Platform 2,Heathrow T123 + 5,2025-11-27T11:46:38Z,2025-11-27T11:46:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.557Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-108250549,1,333,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly,Piccadilly,Westbound - Platform 4,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,1605,Between Arnos Grove and Bounds Green,Heathrow T123 + 5,2025-11-27T11:52:38Z,2025-11-27T11:52:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.557Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1999708927,1,361,940GZZLUASL,Arsenal Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUASG,Arnos Grove Underground Station,2025-11-27T11:25:53.398587Z,912,At Piccadilly Circus Platform 3,Arnos Grove,2025-11-27T11:41:05Z,2025-11-27T11:41:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.203Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",661759784,1,324,940GZZLUHWC,Hounslow Central Underground Station,piccadilly,Piccadilly,Eastbound - Platform 2,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T11:25:53.398587Z,372,At Hatton Cross Platform 2,Cockfosters,2025-11-27T11:32:05Z,2025-11-27T11:32:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.392Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1310499387,1,333,940GZZLUASL,Arsenal Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,732,Approaching Bounds Green,Heathrow T123 + 5,2025-11-27T11:38:05Z,2025-11-27T11:38:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.203Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-681138265,1,372,940GZZLUSEA,South Ealing Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,1365,At Knightsbridge Platform 2,Heathrow T123 + 5,2025-11-27T11:48:38Z,2025-11-27T11:48:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.928Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",182459894,1,362,940GZZLURSQ,Russell Square Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUASG,Arnos Grove Underground Station,2025-11-27T11:25:53.398587Z,1125,Approaching Earl's Court,Arnos Grove,2025-11-27T11:44:38Z,2025-11-27T11:44:38Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:41.75Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",814832590,1,361,940GZZLUHBN,Holborn Underground Station,piccadilly,Piccadilly,Eastbound - Platform 4,outbound,,940GZZLUASG,Arnos Grove Underground Station,2025-11-27T11:25:53.398587Z,311,At Piccadilly Circus Platform 3,Arnos Grove,2025-11-27T11:31:04Z,2025-11-27T11:31:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.939Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1779969967,1,302,940GZZLUHBN,Holborn Underground Station,piccadilly,Piccadilly,Eastbound - Platform 4,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-11-27T11:25:53.398587Z,1151,Left Barons Court,Cockfosters,2025-11-27T11:45:04Z,2025-11-27T11:45:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.939Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-511337358,1,326,940GZZLUHRC,Heathrow Terminals 2 & 3 Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,1692,Between Turnham Green and Acton Town,Heathrow T123 + 5,2025-11-27T11:54:05Z,2025-11-27T11:54:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.549Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1778724783,1,332,940GZZLUHBN,Holborn Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-11-27T11:25:53.398587Z,191,Between King's Cross and Russell Square,Heathrow T123 + 5,2025-11-27T11:29:04Z,2025-11-27T11:29:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.939Z,2025-11-27T11:25:53Z,0001-01-01T00:00:00,2025-11-27 11:26:25
