$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,direction,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2007178863,1,210,940GZZLUBXN,Brixton Underground Station,victoria,Victoria,Northbound - Platform 1,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,1510,Between Seven Sisters and Finsbury Park,Brixton,2025-11-27T11:51:04Z,2025-11-27T11:51:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:25:59.793Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1775985613,1,241,940GZZLUVIC,Victoria Underground Station,victoria,Victoria,Southbound - Platform 4,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,671,Between Highbury & Islington and Kings Cross St. P,Brixton,2025-11-27T11:37:05Z,2025-11-27T11:37:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.461Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-433555856,1,237,940GZZLUTMH,Tottenham Hale Underground Station,victoria,Victoria,Northbound - Platform 1,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,1450,Between Stockwell and Vauxhall,Walthamstow Central,2025-11-27T11:50:04Z,2025-11-27T11:50:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.752Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",966714991,1,224,940GZZLUVXL,Vauxhall Underground Station,victoria,Victoria,Northbound - Platform 1,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,8,At Platform,Walthamstow Central,2025-11-27T11:26:02Z,2025-11-27T11:26:02Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:03.041Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",967108200,1,214,940GZZLUWWL,Walthamstow Central Underground Station,victoria,Victoria,Southbound - Platform 2,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,1451,At Victoria,Walthamstow Central,2025-11-27T11:50:05Z,2025-11-27T11:50:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:04.06Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1955955312,1,214,940GZZLUKSX,King's Cross St. Pancras Underground Station,victoria,Victoria,Northbound - Platform 3,,940GZZLUWWL,Walthamstow Central Underground Station,2025-11-27T11:25:54.4133135Z,550,At Victoria,Walthamstow Central,2025-11-27T11:35:04Z,2025-11-27T11:35:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.143Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,outbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-679529722,1,226,940GZZLUPCO,Pimlico Underground Station,victoria,Victoria,Southbound - Platform 2,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,191,Between Green Park and Victoria,Brixton,2025-11-27T11:29:05Z,2025-11-27T11:29:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.792Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-815229643,1,203,940GZZLUPCO,Pimlico Underground Station,victoria,Victoria,Southbound - Platform 2,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,311,At Green Park,Brixton,2025-11-27T11:31:05Z,2025-11-27T11:31:05Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:01.792Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",863220043,1,232,940GZZLUTMH,Tottenham Hale Underground Station,victoria,Victoria,Southbound - Platform 2,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,70,Between Blackhorse Road and Tottenham Hale,Brixton,2025-11-27T11:27:04Z,2025-11-27T11:27:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:02.752Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",969385589,1,231,940GZZLUHAI,Highbury & Islington Underground Station,victoria,Victoria,Southbound - Platform 5,,940GZZLUBXN,Brixton Underground Station,2025-11-27T11:25:54.4133135Z,370,At Seven Sisters Platform 5,Brixton,2025-11-27T11:32:04Z,2025-11-27T11:32:04Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-11-27T11:26:00.9Z,2025-11-27T11:25:54Z,0001-01-01T00:00:00,inbound,2025-11-27 11:26:26
