$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1144661283,1,113,940GZZLULVT,Liverpool Street Underground Station,central,Central,Eastbound - Platform 4,outbound,,940GZZLUEPG,Epping Underground Station,2025-12-01T15:35:00.0783676Z,1641,Between East Acton and White City,Epping,2025-12-01T16:02:21Z,2025-12-01T16:02:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:28.336Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1320147098,1,56,940GZZLURBG,Redbridge Underground Station,central,Central,Inner Rail - Platform 2,outbound,,940GZZLUNBP,Newbury Park Underground Station,2025-12-01T15:35:00.0783676Z,441,Between Stratford and Leyton,Newbury Park,2025-12-01T15:42:21Z,2025-12-01T15:42:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:33.779Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-220916034,1,7,940GZZLULVT,Liverpool Street Underground Station,central,Central,Eastbound - Platform 4,outbound,,940GZZLULGN,Loughton Underground Station,2025-12-01T15:35:00.0783676Z,110,At Bank,Loughton,2025-12-01T15:36:50Z,2025-12-01T15:36:50Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:28.336Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1967997771,1,14,940GZZLUWCY,White City Underground Station,central,Central,Eastbound - Platform 4,outbound,,940GZZLUEPG,Epping Underground Station,2025-12-01T15:35:00.0783676Z,981,Between South Ruislip and Northolt,Epping,2025-12-01T15:51:21Z,2025-12-01T15:51:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:40.132Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-3793648,1,115,940GZZLUCHL,Chancery Lane Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUWCY,White City Underground Station,2025-12-01T15:35:00.0783676Z,381,Between Bethnal Green and Liverpool Street,White City,2025-12-01T15:41:21Z,2025-12-01T15:41:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:20.667Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1162726215,1,17,940GZZLUWRP,West Ruislip Underground Station,central,Central,Eastbound - Platform 2,,,940GZZLUWRP,West Ruislip Underground Station,2025-12-01T15:35:00.0783676Z,500,Between Greenford and Northolt,West Ruislip,2025-12-01T15:43:20Z,2025-12-01T15:43:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:39.392Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-606463222,1,20,940GZZLUWRP,West Ruislip Underground Station,central,Central,Eastbound - Platform 1,,,940GZZLUWRP,West Ruislip Underground Station,2025-12-01T15:35:00.0783676Z,680,At Perivale,West Ruislip,2025-12-01T15:46:20Z,2025-12-01T15:46:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:39.392Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",889621050,1,62,940GZZLUNHG,Notting Hill Gate Underground Station,central,Central,Westbound - Platform 4,inbound,,940GZZLUWCY,White City Underground Station,2025-12-01T15:35:00.0783676Z,380,At Bond Street,White City,2025-12-01T15:41:20Z,2025-12-01T15:41:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:31.284Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",83964455,1,111,940GZZLUDBN,Debden Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2025-12-01T15:35:00.0783676Z,1341,Between Mile End and Stratford,Epping,2025-12-01T15:57:21Z,2025-12-01T15:57:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:21.248Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-405814464,1,42,940GZZLUCHL,Chancery Lane Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUHLT,Hainault Underground Station,2025-12-01T15:35:00.0783676Z,920,At Shepherd's Bush,Hainault via Newbury Park,2025-12-01T15:50:20Z,2025-12-01T15:50:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:20.667Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1119766757,1,1,940GZZLUCWL,Chigwell Underground Station,central,Central,Outer Rail - Platform 2,outbound,,940GZZLUGGH,Grange Hill Underground Station,2025-12-01T15:35:00.0783676Z,980,At Leytonstone,Grange Hill via Woodford,2025-12-01T15:51:20Z,2025-12-01T15:51:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:21.037Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.509800
