$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",812866498,1,321,940GZZLUTPN,Turnpike Lane Underground Station,piccadilly,Piccadilly,WestBound - Platform 2,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-12-01T15:34:08.8185324Z,432,At Arnos Grove Platform 4,Heathrow T123 + 5,2025-12-01T15:41:20Z,2025-12-01T15:41:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:34.042Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",903371547,1,222,940GZZLUKNB,Knightsbridge Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,852,Left Turnham Green,Cockfosters,2025-12-01T15:48:20Z,2025-12-01T15:48:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:27.329Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2110648163,1,305,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly,Piccadilly,Eastbound - Platform 3,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,373,Between South Kensington and Knightsbridge,Cockfosters,2025-12-01T15:40:21Z,2025-12-01T15:40:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:30.066Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1261107051,1,240,940GZZLUTNG,Turnham Green Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-12-01T15:34:08.8185324Z,1573,At King's Cross Platform 5,Rayners Lane,2025-12-01T16:00:21Z,2025-12-01T16:00:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:33.479Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1095961228,1,340,940GZZLURSQ,Russell Square Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLUHR4,Heathrow Terminal 4 Underground Station,2025-12-01T15:34:08.8185324Z,313,Between Holloway Road and Caledonian Road,Heathrow via T4 Loop,2025-12-01T15:39:21Z,2025-12-01T15:39:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:31.256Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1760333715,1,301,940GZZLUBDS,Bounds Green Underground Station,piccadilly,Piccadilly,EastBound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,253,Left Turnpike Lane,Cockfosters,2025-12-01T15:38:21Z,2025-12-01T15:38:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:19.485Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-163371787,1,233,940GZZLUHBN,Holborn Underground Station,piccadilly,Piccadilly,Eastbound - Platform 4,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,792,Left Gloucester Road,Cockfosters,2025-12-01T15:47:20Z,2025-12-01T15:47:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:25.012Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-108185014,1,223,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly,Piccadilly,Eastbound - Platform 3,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,1452,At Acton Town Platform 3,Cockfosters,2025-12-01T15:58:20Z,2025-12-01T15:58:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:30.066Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1892983108,1,237,940GZZLUALP,Alperton Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-12-01T15:34:08.8185324Z,1513,Approaching South Kensington,Rayners Lane,2025-12-01T15:59:21Z,2025-12-01T15:59:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:18.23Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1374818151,1,233,940GZZLUSKS,South Kensington Underground Station,piccadilly,Piccadilly,Eastbound - Platform 4,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,13,Left Gloucester Road,Cockfosters,2025-12-01T15:34:21Z,2025-12-01T15:34:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:32.449Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-297418460,1,303,940GZZLUOAK,Oakwood Underground Station,piccadilly,Piccadilly,Eastbound - Platform 2,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,1212,Between Finsbury Park and Manor House,Cockfosters,2025-12-01T15:54:20Z,2025-12-01T15:54:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:28.921Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-296042179,1,223,940GZZLUGPK,Green Park Underground Station,piccadilly,Piccadilly,Eastbound - Platform 2,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,1393,At Acton Town Platform 3,Cockfosters,2025-12-01T15:57:21Z,2025-12-01T15:57:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:23.27Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-768018066,1,304,940GZZLUCAR,Caledonian Road Underground Station,piccadilly,Piccadilly,Eastbound - Platform 1,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,1032,Approaching Knightsbridge,Cockfosters,2025-12-01T15:51:20Z,2025-12-01T15:51:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:20.183Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2022698119,1,305,940GZZLUKSX,King's Cross St. Pancras Underground Station,piccadilly,Piccadilly,Eastbound - Platform 6,outbound,,940GZZLUCKS,Cockfosters Underground Station,2025-12-01T15:34:08.8185324Z,852,Between South Kensington and Knightsbridge,Cockfosters,2025-12-01T15:48:20Z,2025-12-01T15:48:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:26.785Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-902751425,1,321,940GZZLUCAR,Caledonian Road Underground Station,piccadilly,Piccadilly,Westbound - Platform 2,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-12-01T15:34:08.8185324Z,1032,At Arnos Grove Platform 4,Heathrow T123 + 5,2025-12-01T15:51:20Z,2025-12-01T15:51:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:20.183Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1240377701,1,226,940GZZLUBOS,Boston Manor Underground Station,piccadilly,Piccadilly,Westbound - Platform 1,inbound,,940GZZLUHR5,Heathrow Terminal 5 Underground Station,2025-12-01T15:34:08.8185324Z,253,Between Acton Town and South Ealing,Heathrow T123 + 5,2025-12-01T15:38:21Z,2025-12-01T15:38:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:19.197Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2046553272,1,240,940GZZLUSKS,South Kensington Underground Station,piccadilly,Piccadilly,Westbound - Platform 3,inbound,,940GZZLURYL,Rayners Lane Underground Station,2025-12-01T15:34:08.8185324Z,912,At King's Cross Platform 5,Rayners Lane,2025-12-01T15:49:20Z,2025-12-01T15:49:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:33:32.449Z,2025-12-01T15:34:08Z,0001-01-01T00:00:00,2025-12-01 15:34:59.771663
