$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1919262866,1,270,940GZZLUWRR,Warren Street Underground Station,victoria,Victoria,Southbound - Platform 4,inbound,,940GZZLUBXN,Brixton Underground Station,2025-12-01T15:34:39.0025604Z,403,Departed Finsbury Park,Brixton,2025-12-01T15:41:22Z,2025-12-01T15:41:22Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:28.621Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",435826546,1,217,940GZZLUOXC,Oxford Circus Underground Station,victoria,Victoria,Northbound - Platform 6,outbound,,940GZZLUWWL,Walthamstow Central Underground Station,2025-12-01T15:34:39.0025604Z,283,Between Pimlico and Victoria,Walthamstow Central,2025-12-01T15:39:22Z,2025-12-01T15:39:22Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:23.425Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",434843499,1,217,940GZZLUVIC,Victoria Underground Station,victoria,Victoria,Northbound - Platform 3,outbound,,940GZZLUWWL,Walthamstow Central Underground Station,2025-12-01T15:34:39.0025604Z,72,Between Pimlico and Victoria,Walthamstow Central,2025-12-01T15:35:51Z,2025-12-01T15:35:51Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:27.154Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1368475801,1,227,940GZZLUWWL,Walthamstow Central Underground Station,victoria,Victoria,Southbound - Platform 2,,,940GZZLUWWL,Walthamstow Central Underground Station,2025-12-01T15:34:39.0025604Z,402,Approaching Seven Sisters,Walthamstow Central,2025-12-01T15:41:21Z,2025-12-01T15:41:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:28.126Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-412191004,1,240,940GZZLUPCO,Pimlico Underground Station,victoria,Victoria,Southbound - Platform 2,inbound,,940GZZLUBXN,Brixton Underground Station,2025-12-01T15:34:39.0025604Z,1122,Between Seven Sisters and Finsbury Park,Brixton,2025-12-01T15:53:21Z,2025-12-01T15:53:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:23.903Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",729509690,1,215,940GZZLUTMH,Tottenham Hale Underground Station,victoria,Victoria,Northbound - Platform 1,outbound,,940GZZLUWWL,Walthamstow Central Underground Station,2025-12-01T15:34:39.0025604Z,762,At Warren Street,Walthamstow Central,2025-12-01T15:47:21Z,2025-12-01T15:47:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:25.894Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-727042504,1,225,940GZZLUOXC,Oxford Circus Underground Station,victoria,Victoria,Southbound - Platform 5,inbound,,940GZZLUBXN,Brixton Underground Station,2025-12-01T15:34:39.0025604Z,463,At Highbury & Islington,Brixton,2025-12-01T15:42:22Z,2025-12-01T15:42:22Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:23.425Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1358684937,1,203,940GZZLUVIC,Victoria Underground Station,victoria,Victoria,Southbound - Platform 4,inbound,,940GZZLUBXN,Brixton Underground Station,2025-12-01T15:34:39.0025604Z,1183,At Tottenham Hale,Brixton,2025-12-01T15:54:22Z,2025-12-01T15:54:22Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:27.154Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2021851354,1,220,940GZZLUVIC,Victoria Underground Station,victoria,Victoria,Northbound - Platform 3,outbound,,940GZZLUWWL,Walthamstow Central Underground Station,2025-12-01T15:34:39.0025604Z,222,At Vauxhall,Walthamstow Central,2025-12-01T15:38:21Z,2025-12-01T15:38:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:27.154Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-859903927,1,202,940GZZLUOXC,Oxford Circus Underground Station,victoria,Victoria,Southbound - Platform 5,inbound,,940GZZLUBXN,Brixton Underground Station,2025-12-01T15:34:39.0025604Z,342,Between Highbury & Islington and Kings Cross St. P,Brixton,2025-12-01T15:40:21Z,2025-12-01T15:40:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:23.425Z,2025-12-01T15:34:39Z,0001-01-01T00:00:00,2025-12-01 15:35:01.694545
