$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1101622578,1,226,940GZZLUWKA,Warwick Avenue Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUHAW,Harrow & Wealdstone Underground Station,2025-12-01T15:35:00.4971696Z,1101,At Lambeth North Platform 1,Harrow and Wealdstone,2025-12-01T15:53:21Z,2025-12-01T15:53:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:27.264Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1222835824,1,232,940GZZLURGP,Regent's Park Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-12-01T15:35:00.4971696Z,50,Left Baker Street,Elephant and Castle,2025-12-01T15:35:50Z,2025-12-01T15:35:50Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:26.081Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-175335494,1,204,940GZZLURGP,Regent's Park Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-12-01T15:35:00.4971696Z,860,Queen's Park North Sidings,Elephant and Castle,2025-12-01T15:49:20Z,2025-12-01T15:49:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:26.081Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1534643894,1,226,940GZZLUQPS,Queen's Park Underground Station,bakerloo,Bakerloo,Northbound - Platform 3,outbound,,940GZZLUHAW,Harrow & Wealdstone Underground Station,2025-12-01T15:35:00.4971696Z,1520,At Lambeth North Platform 1,Harrow and Wealdstone,2025-12-01T16:00:20Z,2025-12-01T16:00:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:25.847Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1576431147,1,227,940GZZLUEAC,Elephant & Castle Underground Station,bakerloo,Bakerloo,Northbound - Platform 4,,,940GZZLUEAC,Elephant & Castle Underground Station,2025-12-01T15:35:00.4971696Z,1040,At Edgware Road Platform 2,Elephant and Castle,2025-12-01T15:52:20Z,2025-12-01T15:52:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:19.736Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-310086163,1,211,940GZZLURGP,Regent's Park Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-12-01T15:35:00.4971696Z,440,At Embankment Platform 5,Queen's Park,2025-12-01T15:42:20Z,2025-12-01T15:42:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:26.081Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-573127590,1,224,940GZZLUKPK,Kilburn Park Underground Station,bakerloo,Bakerloo,Southbound - Platform 2,inbound,,940GZZLUEAC,Elephant & Castle Underground Station,2025-12-01T15:35:00.4971696Z,1461,Harrow & Wealdstone Siding,Elephant and Castle,2025-12-01T15:59:21Z,2025-12-01T15:59:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.103Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2002212580,1,202,940GZZLUOXC,Oxford Circus Underground Station,bakerloo,Bakerloo,Northbound - Platform 4,outbound,,940GZZLUQPS,Queen's Park Underground Station,2025-12-01T15:35:00.4971696Z,21,Between Piccadilly Circus and Oxford Circus,Queen's Park,2025-12-01T15:35:21Z,2025-12-01T15:35:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:24.143Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",953172563,1,225,940GZZLUQPS,Queen's Park Underground Station,bakerloo,Bakerloo,Northbound - Platform 3,,,940GZZLUQPS,Queen's Park Underground Station,2025-12-01T15:35:00.4971696Z,621,At Edgware Road Platform 1,Queen's Park,2025-12-01T15:45:21Z,2025-12-01T15:45:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:25.847Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",656862976,1,205,940GZZLUMVL,Maida Vale Underground Station,bakerloo,Bakerloo,Northbound - Platform 1,outbound,,940GZZLUSGP,Stonebridge Park Underground Station,2025-12-01T15:35:00.4971696Z,110,Approaching Warwick Avenue,Stonebridge Park,2025-12-01T15:36:50Z,2025-12-01T15:36:50Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:23.116Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:00.919211
