$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received,api_fetch_time
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1679412318,1,450,940GZZLUICK,Ickenham Underground Station,metropolitan,Metropolitan,Westbound - Platform 1,inbound,,940GZZLUUXB,Uxbridge Underground Station,2025-12-01T15:35:00.9316371Z,1580,At Neasden,Uxbridge,2025-12-01T16:01:20Z,2025-12-01T16:01:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.807Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1056464495,1,0,940GZZLUNHA,North Harrow Underground Station,metropolitan,Metropolitan,Northbound - Platform 1,inbound,,940GZZLUWAF,Watford Underground Station,2025-12-01T15:35:00.9316371Z,111,Left Harrow-on-the-Hill,Watford,2025-12-01T15:36:51Z,2025-12-01T15:36:51Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:25.575Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-945522348,1,442,940GZZLUHOH,Harrow-on-the-Hill Underground Station,metropolitan,Metropolitan,Southbound - Platform 5,,,,,2025-12-01T15:35:00.9316371Z,680,At Ruislip Platform 2,Check Front of Train,2025-12-01T15:46:20Z,2025-12-01T15:46:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.25Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2062880922,1,424,940GZZLUHOH,Harrow-on-the-Hill Underground Station,metropolitan,Metropolitan,Northbound Fast - Platform 3,inbound,,940GZZLUWAF,Watford Underground Station,2025-12-01T15:35:00.9316371Z,1401,Between Finchley Road and Willesden Green,Watford,2025-12-01T15:58:21Z,2025-12-01T15:58:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.25Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1542222337,1,403,940GZZLUHOH,Harrow-on-the-Hill Underground Station,metropolitan,Metropolitan,Southbound Fast - Platform 6,outbound,,940GZZLUALD,Aldgate Underground Station,2025-12-01T15:35:00.9316371Z,1041,Between Rickmansworth and Moor Park,Aldgate,2025-12-01T15:52:21Z,2025-12-01T15:52:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.25Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1465584778,1,412,940GZZLUESQ,Euston Square Underground Station,metropolitan,Metropolitan,Westbound - Platform 1,inbound,,940GZZLUCSM,Chesham Underground Station,2025-12-01T15:35:00.9316371Z,560,At Aldgate Platform 2,Chesham,2025-12-01T15:44:20Z,2025-12-01T15:44:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:20.306Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1880377274,1,442,940GZZLURYL,Rayners Lane Underground Station,metropolitan,Metropolitan,Eastbound - Platform 2,,,,,2025-12-01T15:35:00.9316371Z,380,At Ruislip Platform 2,Check Front of Train,2025-12-01T15:41:20Z,2025-12-01T15:41:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:26.585Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1025981595,1,441,940GZZLUWHW,West Harrow Underground Station,metropolitan,Metropolitan,Southbound - Platform 2,,,,,2025-12-01T15:35:00.9316371Z,111,At Rayners Lane Platform 2,Check Front of Train,2025-12-01T15:36:51Z,2025-12-01T15:36:51Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:28.298Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1282056104,1,450,940GZZLUNKP,Northwick Park Underground Station,metropolitan,Metropolitan,Northbound - Platform 1,inbound,,940GZZLUUXB,Uxbridge Underground Station,2025-12-01T15:35:00.9316371Z,620,At Neasden,Uxbridge,2025-12-01T15:45:20Z,2025-12-01T15:45:20Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:25.701Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",377600914,1,450,940GZZLUHGD,Hillingdon Underground Station,metropolitan,Metropolitan,Westbound - Platform 1,inbound,,940GZZLUUXB,Uxbridge Underground Station,2025-12-01T15:35:00.9316371Z,1641,At Neasden,Uxbridge,2025-12-01T16:02:21Z,2025-12-01T16:02:21Z,tube,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,2025-12-01T15:34:22.539Z,2025-12-01T15:35:00Z,0001-01-01T00:00:00,2025-12-01 15:35:01.325860
